Product,Consumer complaint narrative
Debt collection,Why ca n't they explain to what the full balance i owe includes. I returned some equipment and there is still a charge for equipment on my account. What are the service charges?
Credit card or prepaid card,"I always paid on time, and this giving me XXXX, I neves miss paying this account, Please update it and remove the Inacccurate late payment on my account and I can't even sleep with this problem, It's hard for me to accept it."
Credit card,It is indeed ridiculous to see late payments recorded on my account when I have consistently made on-time payments without any history of being overdue. I firmly insist that you correct my account to accurately depict my payment history.
Checking or savings account,My phone and wallet was stolen from my car I had to file a report about the incident. And my money was also stolen and use from all my accounts I had
Credit card,My card was compromised I called and asked to close or freeze the card and send another card I never got the other card so the account was compromised twice
"Credit reporting, credit repair services, or other personal consumer reports","Company claims its reporting too the 3 credit bureaus, and bureaus no such reports has been made to them. In fact XX/XX/XXXX & XX/XX/XXXX there were no reports submitted at all.and the balance of the credit remains the in XX/XX/XXXX."
Checking or savings account,XXXX XXXX XXXX Bank of America XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX broke company-customer confidentiality laws by unlawfully handing over legal documents that were given to them by me to another company without my express permission to do so.
Checking or savings account,I opened the account and then I lost online access and they are not letting me access my account depriving me of access to my information and funds
Credit reporting or other personal consumer reports,XX/XX/year> I disputed one collection account and one charge off account stating someone used my identity to purchase items and obtain a personal loan and a credit card. As a result these items were removed from my consumer report and recently placed back on there without properly notifying me.
Credit card,"An unknown individual place an application with chase credit. I reached out to chase bank, and they said I should receive a letter stating that."
"Credit reporting, credit repair services, or other personal consumer reports",Mortgage in my name XXXX XXXX XXXX  a credit card opened in XX/XX/2023 I have not opened a credit card or any loan I. The past 9 years any thing open now is fraud not me
Credit reporting or other personal consumer reports,"I've learned that the creditor didn't provide the necessary XXXX notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor."
Credit card or prepaid card,"There was an unauthorized charge of {$2000.00} on XX/XX/XXXX via a "" online advance ''. I did not authorize this, nor have I ever. My claim was wrongfully denied."
"Payday loan, title loan, personal loan, or advance loan",Speedy cash every month keeps going up on my balance. Instead of the amount owed going down every month it goes up. They took a payment of XXXX a month that I did not authorize.
Debt collection,"On XX/XX/XXXX and XX/XX/XXXX I ask to validate my account. But they send me a billing statement. 

XXXX believe this debt is valid It has an open balance. 
This is an inaccurate reporting and it has to be removed off your my credit report Removed this immediately"
"Money transfer, virtual currency, or money service",I am writing this to formally express my concerns regarding zellle handling of disputes
Credit card,"It is unacceptable to have this late payment on my account, given my history of making payments on time. Please remove it and update my account accordingly."
Credit card,Received unsolicited credit card ready for activation in mail.
Checking or savings account,Somebody opened up an account under my name with my bank and transferred my savings which came out to {$85000.00} onto their account
Credit reporting or other personal consumer reports,"I was checking my credit report, XX/XX/XXXX  and I realize I saw some accounts in or on my report that are in accurate and without my consent and still reporting..."
Checking or savings account,today on XX/XX/XXXX i tried to log in into robinhood to link my bank account but received a error messege. i would like to connect my bank account to robin hood. thank you
Checking or savings account,The company take XXXX hundred something for my account and the company close my account
"Credit reporting, credit repair services, or other personal consumer reports","This is wrong and whoever wrote that statement absolutely lied .... you have damage my credit and now you want to throw the rock and hide your hand .... 

Please answer what's in attachments"
Credit reporting or other personal consumer reports,"In summer XXXX  I sent {$90.00} over Zelle to an account that I thought was my friends. It was not, I was not given the Zelle warning prompt to verify that user and have not since gotten my money back."
"Credit reporting, credit repair services, or other personal consumer reports",I have state employees credit union reporting a charge off from XXXX and account closed. XXXX is continuing to report it as a late payment on my account even after sending me XXXX and charging it off.
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts. I am never been late on this account.
"Credit reporting, credit repair services, or other personal consumer reports",CHECKING MY FILE IVE NOTICED ALOT OF INVALID DATA. THIS IS MY 2ND ATTEMPT I AM INTERESTED IN DISPUTING ALL INCORRECT INFROMATION SUBMITTED IN MY FILE. PLEASE REVIEW AN CORRECT INFORMATION LISTED ASAP.
Credit reporting or other personal consumer reports,The account is being reported as charge off and closed. I never received my copy of the 1099C to report the income. And have to inaccurate information removed. I also want to sue for damages from the fraud being committed.
Debt collection,I was looking on my credit report and found out there was some inaccurate information regarding my Capital One credit card history for XXXX through XXXX of 2020. I sent them multiply letters regarding this issue but they still haven't removed this inaccurate information.
"Credit reporting, credit repair services, or other personal consumer reports","I have reported this numerous times and as of XX/XX/XXXX still showing the XXXX XXXX credit card ending in XXXX still open, where it is closed with XXXX balance."
"Money transfer, virtual currency, or money service",Cash app was illegal giving my information away and didnt have a live representative available for any customer support.
Credit card,"Please see the attached documents. I request the bureau to begin an investigation into these accounts, which I have never been late in paying, but are incorrectly reported as such."
Credit card or prepaid card,"some of these purchases were made by an XXXX  spouse, i was in a XXXX XXXX relationship and now chase credit services is on my credit report and i want it off immediately."
"Credit reporting, credit repair services, or other personal consumer reports","I am sending this request that the account which I believe appears to be inaccurate and incomplete be immediately investigated and corrected on my credit file. 
XXXX XXXX XXXXXXXX Balance : {$3000.00}"
Checking or savings account,Wells Fargo incorrectly charged me overdraft fees as well as overcharged me fees on my account.
"Credit reporting, credit repair services, or other personal consumer reports",Ive received serval pre approved credit card offers and when Ive applied to them Ive been denied. This has happened several times.
Credit card or prepaid card,Purchased an airline ticket with points. They told me about a change and provided the option to respond by email. which I did twice. I called them XX/XX/XXXX and ask to respond to me by email. they have not responded.
"Credit reporting, credit repair services, or other personal consumer reports",I have contacted the collection company and XXXXXXXX XXXX XXXX I do not owe this debt and uploaded a letter from the supposedly creditor showing {$0.00} balance Unsure how a collection company says I owe something their original creditor notes I dont
"Money transfer, virtual currency, or money service",Person claimed to have sent me funds but I had to send a deposit since XXXX had my funds on hold. I sent 2 payment but never received any payments for the xbox series x I am selling
Checking or savings account,I tried to open a account there they won't take the restricted off from it and remove it there I called and won't even give me the fraud dept
Checking or savings account,Wells Fargo closed my account without any explanation
Credit card or prepaid card,My Citi AAdvantage card was lost and fraudulent charges of XXXX USD were made. I reported the fraud to the credit card immediately and they have not issued a credit to my account for the charges
Student loan,"Payment made via check # XXXX shown by bank as withdrawn on XX/XX/19 by XXXXXXXX XXXX. Account has NOT been credited yet and interest accrues daily. I emailed them and got back a "" sorry we did not receive it "" email."
"Money transfer, virtual currency, or money service",XX/XX/2022. Someone transfer my money to another account without me knowing. They used the XXXX app through my bank. They took {$100.00} and {$2500.00} from my account.
Credit card or prepaid card,Please they keep charging me so much Bank of America
Credit card,"My payments are consistently on time, and I have no doubts about this. I ensure prompt payments and maintain accuracy in this. Please update my accounts to remove any late payment remarks from my credit report."
Debt collection,"the bank made an error with my statements & they've agreed to remove it ... for this account, XXXX XXXX XXXX Date opened : XX/XX/2018 Balance : {$690.00}. Please remove the late dates and update the status to Open/Paying as aggreed."
Vehicle loan or lease,"I voluntarily returned the vehicle to credit Acceptance, yet it has been reported as a repossession. Additionally, I have discovered that after the vehicle was sold, the account was re-listed on my credit report with a higher balance than was previously reported."
"Credit reporting, credit repair services, or other personal consumer reports",Since 2007 Experian XXXX  and XXXX  have fraudulently aggressively stolen my ID .I can not retrieve my Experian credit re po RS It does not let me dispute anything and it constantly has technical issues wants to charge me to view my info
"Money transfer, virtual currency, or money service",Zelle said within minutes and it took hours the last time I was stranded and my mom sent me close to {$300.00}. It never helped. It came the next morning. This was in the beginning of XXXX
Checking or savings account,I'm a victim of identity theft I have been fighting this ongoing issue for over ten years now.I have filed paperwork stating accounts were opened fraudulently with chase with no resolve.
Credit card or prepaid card,I was told I was approved for a Chase XXXX business card over a week ago. I was told I would receive the card in 3-5 business days. Im being charged a substantial annual fee for a card that I dont have.
Credit card,"I have consistently made timely payments on this account, never missing a due date. I'm puzzled by the reports of late payment remarks on my accounts. According to 15 USC 1666b, billing errors should be corrected."
"Credit reporting, credit repair services, or other personal consumer reports","Account that was reported, reported fraudulent incorrect information on my consumer report the balance and that it was late.."
Credit reporting or other personal consumer reports,I have had to constantly request the balance on my auto loan be updated and Ive been told high likelihood of getting a credit card approval and loan approval hen get denied taking points off my credit
Credit reporting,This item has been on there over 15yrs. The company went out of business yet I faxed over canceled check to collection agency years ago showing I paid the balance off. They continue to report
Credit card,I have a detailed 6 page document describing how this Fraud took place. I was unaware of it until it was too late. I want to upload this document to CFPB 's Fraud investigation group.
Credit card or prepaid card,My balance shows I have enough to make a purchase but the my card keeps declining
Checking or savings account,I've called XXXX times to try and establish a password and user name so that I can put money into the account but no one has been able to help.
