original_index,complaint,entity_type,entity_value,instruction,response
2309,"I AM VICTIM OF AN IDENTITY THEFT, I HAVE SUBMITTED ALL REQUIRED INFORMATION TO THE CREDIT BUREAUS. THE ACCOUNT AND THE CHARGES ARE FRAUDULENT, SOMEONE STOLE MY INFORMATION AND PRETENDED TO BE AND USED MY INFORMATION AND OBTAINED THE FRAUDULENT CREDIT CARD FROM XXXX XXXX.",channel,unknown,"Given the following consumer complaint, extract the payment/transaction channel used (ACH, wire, Zelle, Venmo, CashApp, card_present, card_not_present, ATM, mobile_check, branch, online, other, unknown).

Complaint: ""I AM VICTIM OF AN IDENTITY THEFT, I HAVE SUBMITTED ALL REQUIRED INFORMATION TO THE CREDIT BUREAUS. THE ACCOUNT AND THE CHARGES ARE FRAUDULENT, SOMEONE STOLE MY INFORMATION AND PRETENDED TO BE AND USED MY INFORMATION AND OBTAINED THE FRAUDULENT CREDIT CARD FROM XXXX XXXX.""

Extract the channel:",unknown
2631,I have 3 credit card accounts that are not minds and was open up in my name as fraud. I File an identity theft report and a police report. Here are the accounts : XXXX XXXX balance XXXX XXXX XXXX balance XXXX XXXX XXXX XXXX  balance {$380.00},channel,unknown,"Given the following consumer complaint, extract the payment/transaction channel used (ACH, wire, Zelle, Venmo, CashApp, card_present, card_not_present, ATM, mobile_check, branch, online, other, unknown).

Complaint: ""I have 3 credit card accounts that are not minds and was open up in my name as fraud. I File an identity theft report and a police report. Here are the accounts : XXXX XXXX balance XXXX XXXX XXXX balance XXXX XXXX XXXX XXXX  balance {$380.00}""

Extract the channel:",unknown
1179,I am being charged with a fee that has nothing to do with me. I don't know where this charge of {$700.00} came from or why it is on my credit report.,direction,outgoing,"Given the following consumer complaint, extract whether the transaction is incoming (money coming to consumer) or outgoing (money going from consumer), or unknown.

Complaint: ""I am being charged with a fee that has nothing to do with me. I don't know where this charge of {$700.00} came from or why it is on my credit report.""

Extract the direction:",outgoing
1413,I let the company know that XXXX XXXX XXXX XXXX XXXX XXXX XXXX and that a charge off is a Certificate of indebtness/ and is income. Income can not be reported on the consumer report and needs to be removed.,account_type_source,other,"Given the following consumer complaint, extract the source account type where money/transaction originates (checking, savings, credit_card, brokerage, loan, cash, other, unknown).

Complaint: ""I let the company know that XXXX XXXX XXXX XXXX XXXX XXXX XXXX and that a charge off is a Certificate of indebtness/ and is income. Income can not be reported on the consumer report and needs to be removed.""

Extract the account_type_source:",other
4345,"Sun Trust back has out a account review on my account and has restricted access to my funds. They tell me they have no time frame for an update, this is not good as they are holding all of my money.",channel,other,"Given the following consumer complaint, extract the payment/transaction channel used (ACH, wire, Zelle, Venmo, CashApp, card_present, card_not_present, ATM, mobile_check, branch, online, other, unknown).

Complaint: ""Sun Trust back has out a account review on my account and has restricted access to my funds. They tell me they have no time frame for an update, this is not good as they are holding all of my money.""

Extract the channel:",other
1577,I was checking my credit report and notice fraudulent accounts. I provided 2 forms of ID to prove my identity.,channel,unknown,"Given the following consumer complaint, extract the payment/transaction channel used (ACH, wire, Zelle, Venmo, CashApp, card_present, card_not_present, ATM, mobile_check, branch, online, other, unknown).

Complaint: ""I was checking my credit report and notice fraudulent accounts. I provided 2 forms of ID to prove my identity.""

Extract the channel:",unknown
1481,Company is not legally licensed to do business in my state. Interest rate not allowed per state usury laws.,channel,unknown,"Given the following consumer complaint, extract the payment/transaction channel used (ACH, wire, Zelle, Venmo, CashApp, card_present, card_not_present, ATM, mobile_check, branch, online, other, unknown).

Complaint: ""Company is not legally licensed to do business in my state. Interest rate not allowed per state usury laws.""

Extract the channel:",unknown
4553,A collection agency contacted me regarding a XXXX credit card account. I agreed to pay a less amount to settle the debt. But the original creditors collection agency are still charging me but for a smaller amount. The debt was not settled or delete it,account_type_source,credit_card,"Given the following consumer complaint, extract the source account type where money/transaction originates (checking, savings, credit_card, brokerage, loan, cash, other, unknown).

Complaint: ""A collection agency contacted me regarding a XXXX credit card account. I agreed to pay a less amount to settle the debt. But the original creditors collection agency are still charging me but for a smaller amount. The debt was not settled or delete it""

Extract the account_type_source:",credit_card
2642,I owe a balance to Bank of America and I have been paying more than the minimum due amount for the past 2 months. The amount showing in my credit score does not reflect the amount that I actually own the bank.,channel,online,"Given the following consumer complaint, extract the payment/transaction channel used (ACH, wire, Zelle, Venmo, CashApp, card_present, card_not_present, ATM, mobile_check, branch, online, other, unknown).

Complaint: ""I owe a balance to Bank of America and I have been paying more than the minimum due amount for the past 2 months. The amount showing in my credit score does not reflect the amount that I actually own the bank.""

Extract the channel:",online
3110,I filed a dispute on XX/XX/2019 to remove student loans which reports missing information on account history and a incorrect balance on the account and they stated the account is accurate but it's not accurate.,direction,unknown,"Given the following consumer complaint, extract whether the transaction is incoming (money coming to consumer) or outgoing (money going from consumer), or unknown.

Complaint: ""I filed a dispute on XX/XX/2019 to remove student loans which reports missing information on account history and a incorrect balance on the account and they stated the account is accurate but it's not accurate.""

Extract the direction:",unknown
